group;id;area;area_poly;bird_id
Germignies B.2;homerange;14995.7611659668;480250.319123829;Germignies B
Germignies B.3;homerange;14995.7611659668;362197.740406669;Germignies B
Germignies B.4;homerange;14995.7611659668;12448378.6475503;Germignies B
Germignies B.5;homerange;14995.7611659668;380427.137741026;Germignies B
Germignies B.6;homerange;14995.7611659668;360023.357985452;Germignies B
Germignies B.7;homerange;14995.7611659668;495860.036446633;Germignies B
Germignies B.8;homerange;14995.7611659668;505124.396308723;Germignies B
Germignies B.9;homerange;14995.7611659668;1323829.12467112;Germignies B
Germignies B.10;homerange;14995.7611659668;7870785.85973056;Germignies B
Germignies B.11;homerange;14995.7611659668;393799.921319943;Germignies B
Germignies B.12;homerange;14995.7611659668;363866.650827222;Germignies B
Germignies B.13;homerange;14995.7611659668;360552.097026899;Germignies B
Germignies B.14;homerange;14995.7611659668;1633669.22538136;Germignies B
Germignies B.15;homerange;14995.7611659668;8098608.78026535;Germignies B
Germignies B.16;homerange;14995.7611659668;1845472.6835353;Germignies B
Germignies B.17;homerange;14995.7611659668;453318.128310479;Germignies B
Germignies B.18;homerange;14995.7611659668;364422.443607577;Germignies B
Germignies B.19;homerange;14995.7611659668;5323187.70372579;Germignies B
Germignies B.20;homerange;14995.7611659668;19077795.3259816;Germignies B
Germignies B.21;homerange;14995.7611659668;368604.258170264;Germignies B
Glageon Bocahut;homerange;0.8139619140625;8139.62026333287;Glageon Bocahut
Guemy;homerange;9107.54220664062;5158135.21128795;Guemy
Guemy.1;homerange;9107.54220664062;350098.885736473;Guemy
Guemy.2;homerange;9107.54220664062;349257.924465075;Guemy
Guemy.3;homerange;9107.54220664062;1186348.64269651;Guemy
Guemy.4;homerange;9107.54220664062;1682921.65431861;Guemy
Guemy.5;homerange;9107.54220664062;354280.892902553;Guemy
Guemy.6;homerange;9107.54220664062;350571.335369892;Guemy
Guemy.7;homerange;9107.54220664062;1884361.84218909;Guemy
Guemy.8;homerange;9107.54220664062;4828763.45364244;Guemy
Guemy.9;homerange;9107.54220664062;1184570.74976597;Guemy
Guemy.10;homerange;9107.54220664062;1184242.49403815;Guemy
Guemy.11;homerange;9107.54220664062;347167.67824167;Guemy
Guemy.12;homerange;9107.54220664062;1199440.99164432;Guemy
Guemy.13;homerange;9107.54220664062;352188.152895319;Guemy
Guemy.14;homerange;9107.54220664062;2307262.21016377;Guemy
Guemy.15;homerange;9107.54220664062;350238.84130247;Guemy
Guemy.16;homerange;9107.54220664062;1796464.20488391;Guemy
Guemy.17;homerange;9107.54220664062;353988.942237134;Guemy
Guemy.18;homerange;9107.54220664062;353050.811725743;Guemy
Guemy.19;homerange;9107.54220664062;351068.836192295;Guemy
Guemy.20;homerange;9107.54220664062;404611.969258294;Guemy
Guemy.21;homerange;9107.54220664062;1802694.72033697;Guemy
Guemy.22;homerange;9107.54220664062;353077.666496322;Guemy
Guemy.23;homerange;9107.54220664062;7813635.38661026;Guemy
Guemy.24;homerange;9107.54220664062;17770318.514883;Guemy
Guemy.25;homerange;9107.54220664062;357931.23372741;Guemy
Guemy.26;homerange;9107.54220664062;1069525.24191884;Guemy
Guemy.27;homerange;9107.54220664062;29581999.3694419;Guemy
Guemy.28;homerange;9107.54220664062;1158202.16230124;Guemy
Guemy.29;homerange;9107.54220664062;346151.69050099;Guemy
Guemy.30;homerange;9107.54220664062;353525.023452833;Guemy
Guemy.31;homerange;9107.54220664062;351571.807342455;Guemy
Guemy.32;homerange;9107.54220664062;361557.471256085;Guemy
Guemy.33;homerange;9107.54220664062;349195.388101079;Guemy
Guemy.34;homerange;9107.54220664062;351649.663866773;Guemy
Guemy.35;homerange;9107.54220664062;2725350.99210574;Guemy
Licques;homerange;4304.90445432129;503259.02045273;Licques
Licques.1;homerange;4304.90445432129;504144.832263624;Licques
Licques.2;homerange;4304.90445432129;1158205.45829803;Licques
Licques.3;homerange;4304.90445432129;509757.767632909;Licques
Licques.4;homerange;4304.90445432129;515211.323613999;Licques
Licques.5;homerange;4304.90445432129;1605806.83726547;Licques
Licques.6;homerange;4304.90445432129;1693864.03303131;Licques
Licques.7;homerange;4304.90445432129;517022.439560708;Licques
Licques.8;homerange;4304.90445432129;818164.949078567;Licques
Licques.9;homerange;4304.90445432129;505646.837894965;Licques
Licques.10;homerange;4304.90445432129;506215.641929224;Licques
Licques.11;homerange;4304.90445432129;1096777.89040199;Licques
Licques.12;homerange;4304.90445432129;5281963.79797178;Licques
Licques.13;homerange;4304.90445432129;503357.251362352;Licques
Licques.14;homerange;4304.90445432129;503402.370049465;Licques
Licques.15;homerange;4304.90445432129;505241.672108475;Licques
