group,id,area,area_DV
Loos-en-Gohelle 74A.13,homerange,8298.63584506836,1262662.02565346
Loos-en-Gohelle 74A.14,homerange,8298.63584506836,188753.727530986
Loos-en-Gohelle 74A.15,homerange,8298.63584506836,201154.616648458
Loos-en-Gohelle 74A.16,homerange,8298.63584506836,200492.73251202
Loos-en-Gohelle 74A.17,homerange,8298.63584506836,188787.285496108
Loos-en-Gohelle 74A.18,homerange,8298.63584506836,191567.304643065
Loos-en-Gohelle 74A.19,homerange,8298.63584506836,1464202.25895655
Loos-en-Gohelle 74A.20,homerange,8298.63584506836,203787.832789809
Loos-en-Gohelle 74A.21,homerange,8298.63584506836,190278.90712928
Loos-en-Gohelle 74A.22,homerange,8298.63584506836,190175.110233709
Loos-en-Gohelle 74A.23,homerange,8298.63584506836,231534.845164463
Loos-en-Gohelle 74A.24,homerange,8298.63584506836,231291.615209028
Loos-en-Gohelle 74A.25,homerange,8298.63584506836,2623393.69868477
Loos-en-Gohelle 74A.26,homerange,8298.63584506836,188271.919880323
Loos-en-Gohelle 74A.27,homerange,8298.63584506836,1041079.59700295
Loos-en-Gohelle 74A.28,homerange,8298.63584506836,1264611.54950787
Loos-en-Gohelle 74A.29,homerange,8298.63584506836,188586.789450772
Loos-en-Gohelle 74A.30,homerange,8298.63584506836,195074.337542683
Loos-en-Gohelle 74A.31,homerange,8298.63584506836,722854.917368487
Loos-en-Gohelle 74A.32,homerange,8298.63584506836,247401.586333197
Loos-en-Gohelle 74A.33,homerange,8298.63584506836,51881339.4950037
Loos-en-Gohelle 74A.34,homerange,8298.63584506836,1614575.81518034
Loos-en-Gohelle 74B,homerange,15473.0004813477,4121226.14065176
Loos-en-Gohelle 74B.1,homerange,15473.0004813477,977784.351527872
Loos-en-Gohelle 74B.2,homerange,15473.0004813477,983791.252725024
Loos-en-Gohelle 74B.3,homerange,15473.0004813477,980536.730236862
Loos-en-Gohelle 74B.4,homerange,15473.0004813477,984997.502871498
Loos-en-Gohelle 74B.5,homerange,15473.0004813477,980513.45484104
Loos-en-Gohelle 74B.6,homerange,15473.0004813477,4752392.22054173
Loos-en-Gohelle 74B.7,homerange,15473.0004813477,1006274.68789244
Loos-en-Gohelle 74B.8,homerange,15473.0004813477,4578376.99545327
Loos-en-Gohelle 74B.9,homerange,15473.0004813477,2642262.77697087
Loos-en-Gohelle 74B.10,homerange,15473.0004813477,6179166.33385526
Loos-en-Gohelle 74B.11,homerange,15473.0004813477,2026423.07691301
Loos-en-Gohelle 74B.12,homerange,15473.0004813477,980475.166815393
Loos-en-Gohelle 74B.13,homerange,15473.0004813477,1025471.78327903
Loos-en-Gohelle 74B.14,homerange,15473.0004813477,72021162.4009947
Loos-en-Gohelle 74B.15,homerange,15473.0004813477,989567.455274634
Loos-en-Gohelle 74B.16,homerange,15473.0004813477,2898537.96526118
Loos-en-Gohelle 74B.17,homerange,15473.0004813477,980412.588342275
Loos-en-Gohelle 74B.18,homerange,15473.0004813477,17702924.1918593
Loos-en-Gohelle 74B.19,homerange,15473.0004813477,981738.401532874
Loos-en-Gohelle 74B.20,homerange,15473.0004813477,2707007.19767246
Loos-en-Gohelle 74B.21,homerange,15473.0004813477,3247037.74047298
Loos-en-Gohelle 74B.22,homerange,15473.0004813477,986791.703764666
Loos-en-Gohelle 74B.23,homerange,15473.0004813477,7968278.8932906
Loos-en-Gohelle 74B.24,homerange,15473.0004813477,980237.149957277
Loos-en-Gohelle 74B.25,homerange,15473.0004813477,3408774.41837177
Loos-en-Gohelle 74B.26,homerange,15473.0004813477,978851.325110087
Loos-en-Gohelle 74B.27,homerange,15473.0004813477,4634503.26201347
Loos-en-Gohelle 74B.28,homerange,15473.0004813477,2024487.64977463
Nabringhen,homerange,5416.0563454834,2107727.78458502
Nabringhen.1,homerange,5416.0563454834,4371502.96348312
Nabringhen.2,homerange,5416.0563454834,5046367.35724849
Nabringhen.3,homerange,5416.0563454834,4378089.75722002
Nabringhen.4,homerange,5416.0563454834,5808308.3925118
Nabringhen.5,homerange,5416.0563454834,9117939.55536205
Nabringhen.6,homerange,5416.0563454834,4278020.53239535
Nabringhen.7,homerange,5416.0563454834,3719907.33682984
Nabringhen.8,homerange,5416.0563454834,6282895.66488109
Nabringhen.9,homerange,5416.0563454834,4812693.04338557
Nabringhen.10,homerange,5416.0563454834,2130526.01333419
Nabringhen.11,homerange,5416.0563454834,2106585.05200361
Quelmes,homerange,2472.03381794434,108353.63936878
Quelmes.1,homerange,2472.03381794434,548258.687708787
Quelmes.2,homerange,2472.03381794434,304188.459131811
Quelmes.3,homerange,2472.03381794434,109149.162533522
Quelmes.4,homerange,2472.03381794434,109393.952266205
Quelmes.5,homerange,2472.03381794434,109393.988361534
Quelmes.6,homerange,2472.03381794434,688871.645619537
Quelmes.7,homerange,2472.03381794434,109456.84428901
Quelmes.8,homerange,2472.03381794434,109855.124309709
Quelmes.9,homerange,2472.03381794434,477951.729444686
Quelmes.10,homerange,2472.03381794434,110132.172809483
Quelmes.11,homerange,2472.03381794434,232056.686471554
Quelmes.12,homerange,2472.03381794434,461465.668347572
Quelmes.13,homerange,2472.03381794434,380060.566531438
Quelmes.14,homerange,2472.03381794434,210325.643925544
Quelmes.15,homerange,2472.03381794434,214955.09049161
Quelmes.16,homerange,2472.03381794434,239944.648608949
Quelmes.17,homerange,2472.03381794434,109211.874016214
Quelmes.18,homerange,2472.03381794434,490833.919811707
Quelmes.19,homerange,2472.03381794434,842901.966000597
Quelmes.20,homerange,2472.03381794434,641914.135171048
Quelmes.21,homerange,2472.03381794434,108788.217141674
Quelmes.22,homerange,2472.03381794434,108654.336483669
Quelmes.23,homerange,2472.03381794434,395277.245358397
Quelmes.24,homerange,2472.03381794434,108826.048536815
Quelmes.25,homerange,2472.03381794434,108385.389637291
Quelmes.26,homerange,2472.03381794434,249882.856450407
Quelmes.27,homerange,2472.03381794434,109265.306111652
Quelmes.28,homerange,2472.03381794434,472528.56298328
Quelmes.29,homerange,2472.03381794434,109091.635442992
Quelmes.30,homerange,2472.03381794434,108900.312095896
Quelmes.31,homerange,2472.03381794434,109232.47598586
Quelmes.32,homerange,2472.03381794434,8910551.75975167
Quelmes.33,homerange,2472.03381794434,521308.503395243
Quelmes.34,homerange,2472.03381794434,109208.628572789
Quelmes.35,homerange,2472.03381794434,109371.560265735
Quelmes.36,homerange,2472.03381794434,255376.296201559
Quelmes.37,homerange,2472.03381794434,348487.72689826
Quelmes.38,homerange,2472.03381794434,2578398.82161819
Quelmes.39,homerange,2472.03381794434,327038.273981379
Quelmes.40,homerange,2472.03381794434,988087.2975128
Quelmes.41,homerange,2472.03381794434,213420.88930689
Quelmes.42,homerange,2472.03381794434,108702.047428927
Quelmes.43,homerange,2472.03381794434,108685.657930167
Quelmes.44,homerange,2472.03381794434,271251.641733561
Quelmes.45,homerange,2472.03381794434,110436.496640171
Quelmes.46,homerange,2472.03381794434,108352.108992487
Quelmes.47,homerange,2472.03381794434,108657.475023409
Quelmes.48,homerange,2472.03381794434,108866.998069349
Quelmes.49,homerange,2472.03381794434,404456.052171066
Quelmes.50,homerange,2472.03381794434,109147.855528829
Quelmes.51,homerange,2472.03381794434,214150.083621921
Quelmes.52,homerange,2472.03381794434,108874.007526852
Wallers,homerange,10316.8979012207,3566559.7295818
Wallers.1,homerange,10316.8979012207,26154443.2629552
Wallers.2,homerange,10316.8979012207,5278196.25959599
Wallers.3,homerange,10316.8979012207,3208037.96106467
Wallers.4,homerange,10316.8979012207,748518.56142024
Wallers.5,homerange,10316.8979012207,3527675.63368075
Wallers.6,homerange,10316.8979012207,4524540.13059781
Wallers.7,homerange,10316.8979012207,3689358.82952011
Wallers.8,homerange,10316.8979012207,37958624.4045126
Wallers.9,homerange,10316.8979012207,6591847.31223958
Wallers.10,homerange,10316.8979012207,4910523.4973384
Wallers.11,homerange,10316.8979012207,759414.199166752
Wallers.12,homerange,10316.8979012207,2251239.22160608
